Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Current_Age,Avg_Mileage_Per_Year
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0,2179.0,107.3521513067391,5.0,11.0,17.5,1,0,0,1,0,11,0.0
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,32.0,15.0,1,0,0,0,1,9,1.5
Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,11.0,5.4,1,0,0,0,1,7,3.685714285714286
Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,107.3521513067391,5.0,11.0,5.99,1,0,0,0,1,6,4.733333333333333
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,11.0,6.34,1,0,0,0,1,9,2.272222222222222
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143.0,167.62,5.0,11.0,28.0,1,0,0,1,0,9,1.6488888888888888
BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,107.3521513067391,5.0,47.0,18.55,1,0,0,1,0,9,2.5211111111111113
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,11.0,8.25,1,0,0,0,1,8,2.95625
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984.0,177.01,5.0,11.0,23.5,0,0,1,1,0,8,1.69125
Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197.0,107.3521513067391,5.0,11.0,1.87,0,0,1,0,1,13,1.4230769230769231
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,11.0,2.85,0,0,1,1,0,13,1.1076923076923078
Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,11.0,4.25,0,0,1,0,1,11,1.5272727272727273
Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461.0,63.1,5.0,11.0,4.25,1,0,0,0,1,11,1.4981818181818183
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,11.0,2.75,0,0,1,0,1,10,2.092
Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,10.0,9.9,0,0,1,0,1,5,3.5
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,107.3521513067391,7.0,11.0,4.0,1,0,0,0,1,16,0.8
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,11.0,7.75,1,0,0,0,1,10,1.9010000000000002
Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,11.0,6.75,0,0,1,0,1,11,1.3209090909090908
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,107.3521513067391,7.0,11.0,12.5,1,0,0,1,0,10,1.1179999999999999
Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,11.0,11.5,1,0,0,1,0,13,0.9538461538461539
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,12.0,6.98,0,0,1,0,1,9,1.7877777777777777
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,107.3521513067391,5.0,11.0,1.85,0,0,1,0,1,14,1.0
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,11.0,8.63,1,0,0,0,1,5,4.86
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,107.3521513067391,5.0,11.0,4.85,0,0,1,0,1,6,3.025
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,11.0,28.0,1,0,0,1,0,10,1.174
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,11.0,5.0,1,0,0,0,1,10,2.207
Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,11.0,1.25,0,0,1,0,1,15,1.3133333333333332
Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,11.0,1.53,0,0,1,0,1,9,2.822222222222222
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,107.3521513067391,6.0,11.0,5.58,1,0,0,0,1,6,4.22
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,11.0,4.74,0,0,1,0,1,9,2.0555555555555554
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,23.0,8.85,0,0,1,1,0,9,1.6244444444444444
Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,11.0,10.11,0,0,1,1,0,7,2.04
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,11.0,4.25,1,0,0,0,1,15,0.9933333333333334
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,18.0,10.95,0,0,1,0,1,11,1.0227272727272727
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,107.3521513067391,5.0,11.0,3.85,1,0,0,0,1,9,2.711111111111111
Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,107.3521513067391,6.0,11.0,5.5,1,0,0,0,1,11,1.5045454545454546
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,11.0,21.43,1,0,0,1,0,8,2.13875
Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,107.3521513067391,5.0,11.0,4.25,1,0,0,0,1,9,2.5444444444444443
Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,107.3521513067391,5.0,11.0,3.3,1,0,0,0,1,9,1.9777777777777779
Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,107.3521513067391,5.0,11.0,3.85,1,0,0,0,1,10,2.84
Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,107.3521513067391,5.0,11.0,3.6,0,0,1,0,1,8,2.3625
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,11.0,3.99,0,0,1,0,1,8,1.88
Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,11.0,3.3,0,0,1,0,1,6,4.195
Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,11.0,2.07,0,0,1,0,1,13,1.566153846153846
Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995.0,147.6,5.0,11.0,7.75,1,0,0,1,0,13,0.73
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,11.0,2.25,0,0,1,0,1,13,1.4
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,19.0,16.5,1,0,0,0,1,6,2.28
Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,107.3521513067391,5.0,11.0,2.75,1,0,0,0,1,13,1.5384615384615385
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,107.3521513067391,5.0,11.0,26.7,0,0,1,1,0,8,1.4675
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,107.3521513067391,5.0,11.0,10.0,1,0,0,0,1,12,1.3166666666666667
Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,107.3521513067391,5.0,11.0,2.5,1,0,0,0,1,7,3.5714285714285716
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,107.3521513067391,5.0,11.0,13.5,1,0,0,1,0,11,1.5045454545454546
Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,107.3521513067391,5.0,11.0,1.85,0,0,1,1,0,16,1.025
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,107.3521513067391,5.0,49.0,35.67,1,0,0,1,0,4,0.0
Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,11.0,8.15,1,0,0,0,1,7,3.5028571428571427
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,11.0,10.5,1,0,0,0,1,5,4.42
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,107.3521513067391,5.0,11.0,14.5,0,0,1,1,0,15,0.5666666666666667
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,107.3521513067391,7.0,11.0,9.65,1,0,0,0,1,8,1.8875
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,11.0,3.48,0,0,1,1,0,11,1.5409090909090908
Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,16.0,6.92,1,0,0,0,1,8,2.455
Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,11.0,6.46,0,0,1,1,0,7,2.357142857142857
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,11.0,29.5,1,0,0,1,0,9,2.058888888888889
Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,107.3521513067391,8.0,11.0,4.5,0,0,1,0,1,17,0.7294117647058824
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,107.3521513067391,7.0,11.0,11.75,1,0,0,0,1,11,1.1636363636363638
Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,107.3521513067391,5.0,11.0,3.75,1,0,0,0,1,11,2.0818181818181816
Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,6.0,4.5,0,0,1,0,1,6,2.9283333333333332
Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,11.0,4.82,0,0,1,0,1,7,2.5714285714285716
Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,107.3521513067391,5.0,11.0,2.8,1,0,0,0,1,11,1.8181818181818181
Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,11.0,3.11,1,0,0,0,1,10,2.32
Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,11.0,3.25,0,0,1,0,1,14,1.2714285714285716
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,107.3521513067391,5.0,11.0,13.9,1,0,0,1,0,12,1.3941666666666668
Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,11.0,2.25,0,0,1,0,1,14,1.4542857142857142
Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,107.3521513067391,5.0,11.0,5.75,0,0,1,0,1,7,2.6999999999999997
Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,11.0,5.0,0,0,1,0,1,7,2.542857142857143
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,11.0,16.5,1,0,0,0,1,9,1.4444444444444444
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,11.0,39.58,1,0,0,1,0,5,3.536
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,11.0,5.5,1,0,0,0,1,10,2.27
Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,107.3521513067391,7.0,11.0,8.1,1,0,0,0,1,9,1.6777777777777778
Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,11.0,3.5,1,0,0,0,1,8,3.225
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,11.0,2.79,1,0,0,0,1,10,2.207
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,107.3521513067391,5.0,11.0,3.45,1,0,0,0,1,13,1.2461538461538462
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,11.0,4.45,0,0,1,0,1,7,2.6999999999999997
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,11.0,2.65,0,0,1,0,1,13,1.1738461538461538
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,107.3521513067391,5.0,11.0,3.8,1,0,0,0,1,12,1.9166666666666667
Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,11.0,4.65,0,0,1,0,1,9,2.0555555555555554
Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,107.3521513067391,7.0,6.0,3.95,0,0,1,0,1,6,3.3049999999999997
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,11.0,9.8,1,0,0,1,0,13,1.1492307692307693
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,107.3521513067391,5.0,11.0,2.7,0,0,1,0,1,14,1.2142857142857142
Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,107.3521513067391,5.0,11.0,2.41,0,0,1,0,1,13,1.0769230769230769
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,6.0,3.9,0,0,1,0,1,9,1.9677777777777778
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,11.0,24.0,1,0,0,1,0,12,1.2283333333333333
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,107.3521513067391,7.0,11.0,5.75,1,0,0,0,1,11,1.4545454545454546
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,11.0,5.25,1,0,0,1,0,9,2.48
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,27.0,19.25,1,0,0,1,0,6,1.8933333333333333
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,107.3521513067391,5.0,5.0,3.91,0,0,1,0,1,6,2.5166666666666666
Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,11.0,2.15,0,0,1,0,1,9,2.822222222222222
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,107.3521513067391,5.0,54.0,20.75,1,0,0,1,0,8,2.83625
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,107.3521513067391,5.0,11.0,3.35,0,0,1,0,1,13,1.0384615384615385
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,11.0,11.11,1,0,0,0,1,9,1.4433333333333334
Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,107.3521513067391,5.0,11.0,20.0,1,0,0,1,0,9,2.588888888888889
Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,9.0,6.55,0,0,1,1,0,7,2.7357142857142853
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,107.3521513067391,5.0,11.0,7.0,0,0,1,1,0,14,0.7714285714285715
Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,9.0,7.5,1,0,0,0,1,7,3.4714285714285715
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,11.0,16.75,1,0,0,1,0,9,1.6666666666666667
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,14.0,10.95,1,0,0,0,1,5,4.4
Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,11.0,2.45,0,0,1,0,1,12,1.575
Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,11.0,3.23,0,0,1,1,0,6,3.65
Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,107.3521513067391,8.0,11.0,7.75,1,0,0,0,1,9,1.338888888888889
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,107.3521513067391,5.0,11.0,9.35,0,0,1,1,0,14,0.8357142857142856
Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,107.3521513067391,5.0,11.0,5.25,0,0,1,0,1,16,0.675
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,11.0,7.25,1,0,0,1,0,8,2.65125
Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,11.0,7.47,0,0,1,0,1,6,3.455
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,107.3521513067391,7.0,11.0,13.25,1,0,0,1,0,7,2.2857142857142856
Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,11.0,5.81,0,0,1,0,1,7,3.0142857142857147
Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,4.0,2.6,0,0,1,0,1,9,2.6744444444444446
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,95.0,54.0,0,0,1,1,0,6,3.1666666666666665
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,13.0,11.5,0,0,1,1,0,4,4.25
Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,11.0,1.6,0,0,1,0,1,13,1.5153846153846153
BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,107.3521513067391,5.0,11.0,17.22,1,0,0,1,0,8,2.5725
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,11.0,6.0,0,0,1,1,0,8,2.375
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,107.3521513067391,5.0,11.0,3.95,0,0,1,0,1,11,1.2272727272727273
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,107.3521513067391,5.0,11.0,17.95,1,0,0,1,0,9,2.141111111111111
Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,11.0,3.7,1,0,0,0,1,9,2.8666666666666667
Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,11.0,5.43,0,0,1,0,1,7,3.142857142857143
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,107.3521513067391,7.0,11.0,13.49,1,0,0,0,1,11,1.0454545454545454
Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,11.0,2.85,0,0,1,0,1,9,2.066666666666667
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,11.0,4.75,1,0,0,0,1,10,2.114
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,11.0,9.9,0,0,1,0,1,5,4.146
Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,107.3521513067391,4.0,1.0,37.0,0,0,1,1,0,10,1.105
BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,107.3521513067391,5.0,60.0,26.5,1,0,0,1,0,9,2.417777777777778
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,11.0,23.32,1,0,0,1,0,8,2.13875
Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,107.3521513067391,5.0,11.0,6.25,1,0,0,0,1,7,3.2714285714285714
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,11.0,30.0,0,0,1,1,0,13,0.6007692307692307
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,11.0,9.86,1,0,0,1,0,7,3.0942857142857143
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,11.0,8.5,1,0,0,1,0,11,1.5636363636363635
Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,11.0,4.23,0,0,1,0,1,4,5.275
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,11.0,3.5,1,0,0,0,1,11,2.0063636363636363
Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,11.0,2.5,0,0,1,0,1,7,2.947142857142857
Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,11.0,2.39,0,0,1,0,1,10,1.94
Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,11.0,11.25,0,0,1,1,0,10,1.48
Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,11.0,7.11,1,0,0,0,1,8,3.25
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,11.0,10.9,1,0,0,0,1,7,1.8557142857142856
Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,11.0,6.2,0,0,1,0,1,6,3.4
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,107.3521513067391,7.0,11.0,7.9,1,0,0,0,1,11,1.3727272727272728
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,11.0,4.42,1,0,0,0,1,9,2.522222222222222
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,11.0,13.5,1,0,0,0,1,11,1.1818181818181819
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,11.0,6.25,1,0,0,1,0,10,2.15
Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,107.3521513067391,5.0,11.0,2.1,1,0,0,0,1,13,1.5384615384615385
BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,107.3521513067391,5.0,11.0,45.0,1,0,0,1,0,8,1.9125
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,11.0,33.66,1,0,0,1,0,6,3.2116666666666664
Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,11.0,3.65,0,0,1,0,1,11,1.7636363636363634
Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,11.0,2.75,0,0,1,0,1,10,2.036
Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143.0,107.3521513067391,5.0,11.0,42.5,1,0,0,1,0,7,2.557142857142857
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197.0,81.86,5.0,7.0,6.5,0,0,1,0,1,4,4.725
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968.0,174.33,5.0,11.0,19.0,1,0,0,1,0,11,1.6072727272727272
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598.0,103.6,5.0,11.0,4.45,0,0,1,1,0,10,1.44
Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998.0,107.3521513067391,5.0,11.0,23.0,1,0,0,1,0,6,2.766666666666667
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396.0,88.73,5.0,11.0,8.35,1,0,0,0,1,9,2.5044444444444443
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968.0,174.33,5.0,11.0,22.95,1,0,0,1,0,9,1.9644444444444444
Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936.0,57.6,5.0,11.0,1.5,1,0,0,0,1,11,2.312727272727273
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,13.7,1798.0,157.75,5.0,11.0,6.89,0,0,1,1,0,11,1.2454545454545454
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,17.8,1399.0,107.3521513067391,5.0,11.0,1.45,1,0,0,0,1,17,1.0470588235294118
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995.0,107.3521513067391,5.0,69.0,33.5,1,0,0,1,0,9,2.497777777777778
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,12.9,1598.0,102.5,5.0,11.0,1.25,0,0,1,0,1,16,0.80625
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,22.07,1199.0,73.9,5.0,11.0,4.2,1,0,0,0,1,11,2.0063636363636363
